"행정구역별(1)",행정구역별(2),2019. 09,2019. 09,2019. 10,2019. 10,2019. 11,2019. 11
"행정구역별(1)",행정구역별(2),필지 (필지),면적 (천㎡),필지 (필지),면적 (천㎡),필지 (필지),면적 (천㎡)
"경상남도",창원시,503,718,475,772,525,452
"경상남도",창원시 의창구,72,134,135,218,119,124
"경상남도",창원시 성산구,13,57,11,7,14,12
"경상남도",창원시 마산합포구,226,324,180,453,259,203
"경상남도",창원시 마산회원구 ,42,24,43,55,39,38
"경상남도",창원시 진해구,150,180,106,39,94,75
"경상남도",진주시,315,568,379,1223,426,777
"경상남도",통영시,224,446,174,287,181,221
"경상남도",사천시,298,401,397,506,382,333
"경상남도",김해시,493,488,734,487,758,622
"경상남도",밀양시,361,482,389,482,550,1029
"경상남도",거제시,316,257,416,544,308,336
"경상남도",양산시,319,1043,537,722,509,672
"경상남도",의령군,161,334,315,770,203,400
"경상남도",함안군,237,249,277,564,302,449
"경상남도",창녕군,286,305,271,400,369,642
"경상남도",고성군,360,565,374,769,359,590
"경상남도",남해군,393,400,372,571,454,411
"경상남도",하동군,320,466,483,663,342,571
"경상남도",산청군,295,409,307,1745,287,682
"경상남도",함양군,219,580,225,712,326,526
"경상남도",거창군,257,512,345,813,384,608
"경상남도",합천군,412,1085,483,769,344,920
"제주특별자치도",소계,1540,2109,1863,2624,1764,4370
"제주특별자치도",제주시,889,1460,1100,1406,1108,3390
"제주특별자치도",서귀포시,651,650,763,1218,656,980
